epoch batch k value what
0 1500 51 18.953 diff
0 1500 51 20.3024 norm
0 1500 52 18.8607 diff
0 1500 52 20.2049 norm
0 1500 53 18.7715 diff
0 1500 53 20.1109 norm
0 1500 54 18.686 diff
0 1500 54 20.0209 norm
0 1500 55 18.6047 diff
0 1500 55 19.9354 norm
0 1500 56 18.5282 diff
0 1500 56 19.855 norm
0 1500 57 18.457 diff
0 1500 57 19.7803 norm
0 1500 58 18.3916 diff
0 1500 58 19.7116 norm
0 1500 59 18.3325 diff
0 1500 59 19.6495 norm
0 1500 60 18.28 diff
0 1500 60 19.5942 norm
0 1500 61 18.2341 diff
0 1500 61 19.5459 norm
0 1500 62 18.1952 diff
0 1500 62 19.5048 norm
0 1500 63 18.1629 diff
0 1500 63 19.4707 norm
0 1500 64 18.1373 diff
0 1500 64 19.4436 norm
0 1500 65 18.1181 diff
0 1500 65 19.4232 norm
0 1500 66 18.1048 diff
0 1500 66 19.409 norm
0 1500 67 18.097 diff
0 1500 67 19.4006 norm
0 1500 68 18.0942 diff
0 1500 68 19.3974 norm
0 1500 69 18.0957 diff
0 1500 69 19.3989 norm
0 1500 70 18.1011 diff
0 1500 70 19.4045 norm
0 1500 71 18.1096 diff
0 1500 71 19.4134 norm
0 1500 72 18.1206 diff
0 1500 72 19.425 norm
0 1500 73 18.1336 diff
0 1500 73 19.4386 norm
0 1500 74 18.1479 diff
0 1500 74 19.4537 norm
0 1500 75 18.1629 diff
0 1500 75 19.4697 norm
0 1500 76 18.1782 diff
0 1500 76 19.4859 norm
0 1500 77 18.1933 diff
0 1500 77 19.502 norm
0 1500 78 18.2078 diff
0 1500 78 19.5175 norm
0 1500 79 18.2214 diff
0 1500 79 19.532 norm
0 1500 80 18.2338 diff
0 1500 80 19.5453 norm
0 1500 81 18.2447 diff
0 1500 81 19.5572 norm
0 1500 82 18.2542 diff
0 1500 82 19.5674 norm
0 1500 83 18.262 diff
0 1500 83 19.5758 norm
0 1500 84 18.2681 diff
0 1500 84 19.5825 norm
0 1500 85 18.2726 diff
0 1500 85 19.5875 norm
0 1500 86 18.2755 diff
0 1500 86 19.5908 norm
0 1500 87 18.2769 diff
0 1500 87 19.5925 norm
0 1500 88 18.2769 diff
0 1500 88 19.5928 norm
0 1500 89 18.2758 diff
0 1500 89 19.5918 norm
0 1500 90 18.2737 diff
0 1500 90 19.5897 norm
0 1500 91 18.2707 diff
0 1500 91 19.5867 norm
0 1500 92 18.2671 diff
0 1500 92 19.5829 norm
0 1500 93 18.263 diff
0 1500 93 19.5787 norm
0 1500 94 18.2586 diff
0 1500 94 19.5741 norm
0 1500 95 18.254 diff
0 1500 95 19.5694 norm
0 1500 96 18.2495 diff
0 1500 96 19.5647 norm
0 1500 97 18.2452 diff
0 1500 97 19.5602 norm
0 1500 98 18.2411 diff
0 1500 98 19.5559 norm
0 1500 99 18.2374 diff
0 1500 99 19.552 norm
0 1500 100 18.2342 diff
0 1500 100 19.5485 norm
0 1500 101 18.2314 diff
0 1500 101 19.5456 norm
0 1500 102 18.2291 diff
0 1500 102 19.5432 norm
0 1500 103 18.2274 diff
0 1500 103 19.5413 norm
0 1500 104 18.2262 diff
0 1500 104 19.5401 norm
0 1500 105 18.2256 diff
0 1500 105 19.5393 norm
0 1500 106 18.2254 diff
0 1500 106 19.5391 norm
0 1500 107 18.2257 diff
0 1500 107 19.5394 norm
0 1500 108 18.2264 diff
0 1500 108 19.5401 norm
0 1500 109 17.5893 diff
0 1500 109 19.1824 norm
0 1500 110 15.6397 diff
0 1500 110 17.8207 norm
0 1500 111 11.0626 diff
0 1500 111 14.0331 norm
0 1500 112 7.48416 diff
0 1500 112 11.2097 norm
0 1500 113 5.11066 diff
0 1500 113 9.4576 norm
0 1500 114 3.45553 diff
0 1500 114 8.32345 norm
0 1500 115 2.27351 diff
0 1500 115 7.57284 norm
0 1500 116 1.42404 diff
0 1500 116 7.06013 norm
0 1500 117 0.807299 diff
0 1500 117 6.68605 norm
0 1500 118 0.349865 diff
0 1500 118 6.3897 norm
0 1500 119 0.0 diff
